Handling Duration;Writing Duration;Total Duration
2987348690;1884762424;4872111114
3006332287;1914390543;4920722830
3014448991;1879443915;4893892906
3019571989;1884669263;4904241252
2991049583;1890407145;4881456728
2973166126;1866757057;4839923183
3023880760;1863478202;4887358962
3198552375;1881954786;5080507161
3020714096;1885604031;4906318127
3004311319;1892119581;4896430900
3019068430;1881174508;4900242938
3008850537;1901934298;4910784835
3023416907;1879982522;4903399429
3036973083;1908536008;4945509091
3028609003;1880357486;4908966489
3265281890;1875765699;5141047589
3006741717;1885176111;4891917828
3020338566;1879616996;4899955562
3034315654;1858876440;4893192094
3028884887;1885553215;4914438102
3035032151;1906520724;4941552875
3021879497;1879777525;4901657022
2985999567;1894146138;4880145705
3004974474;1887407475;4892381949
2989229702;1871076297;4860305999
3016372908;1885163493;4901536401
3014566064;1885127196;4899693260
2979731432;1921057812;4900789244
3044538630;1871809087;4916347717
3061683046;1891230081;4952913127
2996681350;1921733760;4918415110
3036511079;1900365196;4936876275
2989921481;1891609581;4881531062
3058964190;1918560256;4977524446
3054608643;1918163562;4972772205
3022348785;1934079288;4956428073
3054902531;1944234566;4999137097
3068663751;1888460805;4957124556
2985941592;1908840507;4894782099
3017879058;1887563554;4905442612
3040100153;1893763156;4933863309
3077261882;1886608224;4963870106
3011115905;1893205708;4904321613
3022225593;1905880140;4928105733
3006178419;1894738696;4900917115
2985049454;1904380680;4889430134
2997623645;1882343596;4879967241
3002948297;1907108987;4910057284
3001089916;1898827849;4899917765
2990104066;1916061487;4906165553
2986813736;1894515451;4881329187
3032573183;1871849765;4904422948
2997126437;1954817260;4951943697
3018037744;1917938781;4935976525
2993781445;1883989703;4877771148
3023225071;1867876768;4891101839
3055247394;1902232522;4957479916
3054390566;1873604198;4927994764
3032961474;1913894751;4946856225
2999427886;1931528891;4930956777
3004936716;1915356028;4920292744
3018695598;1901544976;4920240574
3035436359;1924174438;4959610797
2988157733;1894288031;4882445764
2994753852;1885724058;4880477910
2998697205;1865859399;4864556604
3010909636;1877998550;4888908186
3014135852;1877720504;4891856356
3027199354;1877001940;4904201294
3008824777;1869696584;4878521361
3015679484;1866840708;4882520192
2994101831;1915649254;4909751085
3048482037;1870403008;4918885045
3052340092;1878523177;4930863269
3027721847;1886113430;4913835277
3012500194;1886219436;4898719630
3021312514;1900227922;4921540436
3017717856;1880289901;4898007757
2999662935;1880056216;4879719151
2991366773;1890546243;4881913016
2996566786;1902096491;4898663277
2993413795;1899344033;4892757828
3019525830;1881319516;4900845346
3018141367;1896576862;4914718229
3034112489;1868950212;4903062701
3026718881;1883325241;4910044122
3003145957;1888813539;4891959496
3026903389;1877100074;4904003463
2997368279;1872459354;4869827633
2984227486;1900780137;4885007623
2986750359;1899254313;4886004672
3027085650;1886792720;4913878370
3011902853;1900636118;4912538971
2984927882;1863776136;4848704018
3001985503;1892316380;4894301883
3000284914;1907532829;4907817743
3096409588;1889447401;4985856989
2998829707;1868006626;4866836333
3006300032;1878806656;4885106688
2989308710;1873351488;4862660198
