Handling duration;Writing duration;Total duration
2958107176;1925455645;4883562821
2967780816;1945214742;4912995558
2944112830;1902937383;4847050213
2992298957;1895993383;4888292340
2981950166;1882064625;4864014791
2962671243;1886962271;4849633514
3069757884;1953631426;5023389310
2979334760;2084304063;5063638823
3018751179;1899338195;4918089374
3208651642;1956385672;5165037314
2987324540;1897344794;4884669334
2985323652;1897464614;4882788266
2958275133;1908365856;4866640989
3001544850;1868513915;4870058765
3005512348;1902201442;4907713790
2968650599;1927962862;4896613461
2993739422;1897026379;4890765801
3010286883;1870898515;4881185398
2985050466;1891858435;4876908901
2988638955;1896558935;4885197890
2986627687;1889702536;4876330223
2989068252;1923269493;4912337745
2961523684;1905001447;4866525131
2946219765;1869416080;4815635845
2994859174;1889549971;4884409145
2994337086;1903385954;4897723040
2989285862;1880743933;4870029795
2975897170;1931909911;4907807081
3004840832;1894003904;4898844736
2986747179;1919118638;4905865817
2958101792;1915074577;4873176369
2962012460;1904136888;4866149348
2948240404;1879172996;4827413400
2964253985;1915057835;4879311820
3014085834;1912119130;4926204964
2954100551;1908015227;4862115778
2969942906;1909541901;4879484807
2959825866;1917916407;4877742273
2970523886;1911598374;4882122260
3224465421;1898125691;5122591112
2977314795;1891263314;4868578109
2953645255;1889121350;4842766605
2986824694;1931476045;4918300739
3000639680;1895657381;4896297061
2977721171;1892578568;4870299739
2935773266;1952960022;4888733288
2972615621;1907102286;4879717907
2987797233;1878915744;4866712977
2962611834;1884384429;4846996263
2950714628;1911391057;4862105685
2973773791;1891284400;4865058191
2944699603;1894543053;4839242656
2951529719;1932693113;4884222832
2953576393;1918634170;4872210563
3013624828;1888858474;4902483302
2990133772;1886270633;4876404405
2968041684;1910756586;4878798270
3036111953;1944989511;4981101464
2950077223;1879105034;4829182257
2975234962;1883706690;4858941652
3544377753;1894076449;5438454202
2970247715;1888597501;4858845216
2990131339;1919741932;4909873271
3004058951;1867789320;4871848271
3006036236;1893968537;4900004773
2975305234;1952763937;4928069171
3058680168;1955465110;5014145278
3046832053;1964863796;5011695849
3017222057;1937162008;4954384065
3074701435;1954350055;5029051490
3048324560;1944610378;4992934938
3008316245;1950429098;4958745343
3018555865;1944046215;4962602080
3006466186;1961911795;4968377981
3011444372;1966165938;4977610310
3051550019;1939917407;4991467426
3026060466;1963355447;4989415913
2987307607;1915246371;4902553978
2968009162;1885613770;4853622932
3032388100;1884336095;4916724195
2986533591;1907260712;4893794303
3002492539;1896886642;4899379181
2986664992;1949430299;4936095291
2970915722;1927370352;4898286074
2989768057;1935661678;4925429735
2977744203;1897543259;4875287462
2970607896;1900641027;4871248923
2958974589;1889432917;4848407506
2963416760;1883310315;4846727075
2959422890;1884162050;4843584940
2948647188;1906626578;4855273766
2978658338;1917568361;4896226699
3023435496;1903361061;4926796557
2967664742;1922459203;4890123945
3007200268;1932736129;4939936397
3171586451;1919344725;5090931176
2966803122;1871958875;4838761997
3069812838;1899325656;4969138494
2964036212;1900234156;4864270368
2971048664;1888826929;4859875593
