Handling Duration;Writing Duration;Total Duration
5145485359;6697676525;11843161884
5081293978;6165062430;11246356408
5055325594;6167592116;11222917710
5026339297;6193843540;11220182837
5038060045;6082791946;11120851991
4947109964;6175045556;11122155520
5011055205;6153834591;11164889796
5049573156;6158436998;11208010154
5046996001;6067324690;11114320691
4950145986;6093322529;11043468515
5004546647;6134851667;11139398314
5083000870;6207866674;11290867544
5186634217;6552476142;11739110359
5806065132;6700571859;12506636991
5323517712;6122209053;11445726765
5111199933;5987187569;11098387502
4980793471;6228883725;11209677196
4930029334;6706754831;11636784165
4989819025;6349218223;11339037248
5071214535;6189631192;11260845727
5053756985;6180735493;11234492478
5038927072;6724521692;11763448764
5134100489;6444250172;11578350661
4978832639;6255545709;11234378348
5049342963;6640002266;11689345229
5722042019;6455541856;12177583875
5718319628;6288402009;12006721637
5089447316;6544673803;11634121119
5004027720;6147505479;11151533199
5006575500;6612516411;11619091911
4987440599;6069203277;11056643876
4914223850;6608609092;11522832942
5039343824;6088338483;11127682307
5108179208;6517319776;11625498984
5045131022;6156394586;11201525608
5066030209;6508597809;11574628018
4986508868;6065289681;11051798549
4976584288;5990723194;10967307482
5058443874;6223031941;11281475815
4924071716;6150772903;11074844619
4960773780;6047944079;11008717859
5053220801;6271414650;11324635451
4983728170;6214214628;11197942798
4980327674;5948849754;10929177428
4954277265;6166573669;11120850934
4976715051;6204181466;11180896517
4890558451;6134012692;11024571143
4999518691;6126205297;11125723988
4975111395;6103156038;11078267433
4942805122;6230445648;11173250770
4979920633;6648674485;11628595118
5013343118;6156934526;11170277644
5057374386;6126664312;11184038698
5023904867;6600860837;11624765704
4926869850;5895811136;10822680986
5089724210;6504564366;11594288576
4989988585;6601532033;11591520618
4941965513;6073761407;11015726920
4957958127;6541424518;11499382645
4997091046;6658488355;11655579401
5001705003;6149086320;11150791323
4959276569;6181246968;11140523537
5038683160;6115387500;11154070660
5008591821;6159504649;11168096470
4880984444;6215649513;11096633957
5002721827;6129884222;11132606049
5017093867;5972043763;10989137630
4880313425;6038534247;10918847672
4976075193;6056906253;11032981446
4988574764;6021978122;11010552886
4900664733;6521744847;11422409580
5037831132;6068480656;11106311788
4985478241;5929039838;10914518079
4907204093;6062171374;10969375467
4990043073;6003847741;10993890814
4904674561;6320630730;11225305291
4900671653;6472526349;11373198002
4975522391;6494656809;11470179200
4890564193;6480239541;11370803734
4902991887;5999673347;10902665234
5012511328;6065617615;11078128943
6199847647;6839241734;13039089381
5544466172;6044380477;11588846649
4940299865;6169152875;11109452740
4879244523;6168809061;11048053584
4875125487;6199067776;11074193263
5083203868;6027917597;11111121465
5011595797;6072998247;11084594044
5007203323;6108927965;11116131288
4972751013;6189406837;11162157850
5024064906;6296088718;11320153624
5141948451;6107682668;11249631119
4951309916;6205783194;11157093110
5102817923;6038634157;11141452080
5016041142;6066675971;11082717113
4878297841;6218187641;11096485482
4983985854;6227955911;11211941765
5047964419;6076864130;11124828549
4966464509;6093452275;11059916784
4876458292;6125047114;11001505406
