Handling duration;Writing duration;Total duration
5399775718;6283429546;11683205264
4879098237;6519472915;11398571152
4991000123;6642492923;11633493046
4877947393;6517366835;11395314228
4828073144;6599748824;11427821968
4903857119;6510559076;11414416195
4924073893;6423888350;11347962243
4996471356;6430777649;11427249005
4841303082;6594096229;11435399311
4878925719;6543039496;11421965215
4784100574;6659320947;11443421521
4884660189;6588041895;11472702084
4786918472;6511677033;11298595505
4800809537;6602415155;11403224692
4764511624;6540883038;11305394662
4886725634;6508664439;11395390073
4872876964;6340743001;11213619965
4948666232;6484972052;11433638284
4834201687;6471873948;11306075635
4963260745;6925373735;11888634480
4901165815;6558963808;11460129623
4832601220;6594763000;11427364220
4929903558;6442011045;11371914603
4902672591;6536726662;11439399253
4882213206;6385791265;11268004471
4967724310;6548127130;11515851440
4864832581;6504028803;11368861384
4812389158;6485552992;11297942150
4861560511;6432829340;11294389851
4838578977;6470642445;11309221422
4904103731;6386417611;11290521342
4862919093;6874374446;11737293539
4865427304;6496149661;11361576965
4907238418;6408961596;11316200014
4863164184;6419628929;11282793113
4905211098;6690024481;11595235579
4843457223;6580044658;11423501881
4918785312;6367832218;11286617530
4942176522;6357432115;11299608637
4980553083;6396633742;11377186825
4934190129;6561125658;11495315787
4873008761;6426568461;11299577222
4875864208;6479097563;11354961771
4815962427;6491046706;11307009133
4922068979;6551198820;11473267799
4839235118;6652940240;11492175358
4838747758;6541061193;11379808951
4822401052;6427980653;11250381705
4828171593;6537690803;11365862396
4961498151;6385615874;11347114025
4952478316;6560579058;11513057374
4847988577;6479944146;11327932723
4891859425;6492482183;11384341608
4930082294;6581727304;11511809598
4868578858;6567265394;11435844252
4865000999;6491659106;11356660105
4855871125;6525911780;11381782905
4816100657;6486391072;11302491729
4821080145;6385109953;11206190098
4847564719;6557171669;11404736388
4883641135;6485122356;11368763491
4824058491;6704584401;11528642892
4847195357;6517092119;11364287476
4963296941;6551836077;11515133018
4904093843;6443929497;11348023340
4833129393;6455495472;11288624865
4824206026;6473500600;11297706626
5003392847;6431721954;11435114801
4901337400;6598563457;11499900857
4814180930;6518670257;11332851187
4867561322;6496067846;11363629168
4831175062;6625638903;11456813965
4893305404;6393151839;11286457243
4875805882;6488337511;11364143393
4879105441;6461244283;11340349724
4862316453;6554656655;11416973108
4851913743;6554049514;11405963257
4869568952;6524295478;11393864430
4911970710;6747486642;11659457352
4895093448;6432195830;11327289278
4764681872;6535469657;11300151529
4858182342;6487963378;11346145720
4941588048;6703892769;11645480817
4955786089;6480186993;11435973082
4823942673;6592252048;11416194721
4785111012;6837472557;11622583569
4898222330;6451565402;11349787732
4836778041;6899881952;11736659993
4786930623;6465899779;11252830402
4936676056;6414507698;11351183754
4854375468;6553860520;11408235988
4869463521;6539934170;11409397691
4902511291;6525331812;11427843103
4942380963;6486842370;11429223333
4842503030;6452850005;11295353035
4872244809;6447336718;11319581527
4894231934;6523165910;11417397844
4843872992;6597709201;11441582193
4873233688;6534892104;11408125792
4833055454;6491161623;11324217077
