Handling duration;Writing duration;Total duration
4996229811;7719067287;12715297098
5401574200;6258648041;11660222241
4941336258;6456300045;11397636303
4894124652;6315314297;11209438949
4941970991;6681590285;11623561276
4887456616;6173661896;11061118512
4972609245;6088129221;11060738466
4962435385;6196345881;11158781266
4945048358;6350767442;11295815800
4893504736;6573506494;11467011230
4922070786;6758399803;11680470589
4916748530;6100017743;11016766273
4997380846;6089955795;11087336641
4996906972;6155071323;11151978295
4907534785;6316554738;11224089523
4876347707;6078070176;10954417883
4946714242;6781462927;11728177169
4847497776;6287371357;11134869133
4931680636;6104191421;11035872057
5020481350;6033981658;11054463008
5011080132;6066036794;11077116926
4978063615;6111544086;11089607701
4937858466;6203473343;11141331809
4967177693;5964704272;10931881965
4902363590;6266346271;11168709861
4957917047;6147410233;11105327280
4835601730;6235117293;11070719023
4968782465;6250666873;11219449338
5007836202;6087372674;11095208876
4946478263;6145567024;11092045287
5103133249;6291510642;11394643891
4948440723;6158106448;11106547171
5076391950;6188147014;11264538964
4984324368;6164610704;11148935072
4964906630;6714806096;11679712726
4959357136;6655633480;11614990616
4947341530;6709116232;11656457762
4870534689;6324721685;11195256374
4940057098;6107633586;11047690684
4974644206;6855087155;11829731361
5017078655;6266266917;11283345572
4993529178;6256409316;11249938494
5003819123;6706828662;11710647785
4997057361;6273363029;11270420390
4977678650;6179520518;11157199168
5047573972;6200510461;11248084433
5060395039;6164087209;11224482248
4942703300;6284280428;11226983728
4955781428;6177873249;11133654677
5027067046;6272515642;11299582688
5038693573;6215143188;11253836761
5018660143;6171552163;11190212306
5079246460;6209318728;11288565188
5005412386;6176639294;11182051680
4925881085;6211249141;11137130226
4919627109;6277884167;11197511276
5111448720;6193379734;11304828454
5095057280;6127785528;11222842808
5027109499;6152120527;11179230026
4922547246;6299479103;11222026349
5015792897;6177963786;11193756683
5109589327;6101504420;11211093747
5034159734;6264432344;11298592078
4939024067;6217244289;11156268356
4906619681;6139910817;11046530498
5063672908;6011246511;11074919419
4995732630;6606931935;11602664565
4967702824;6584067205;11551770029
4953172034;6227593182;11180765216
4923355322;6720912107;11644267429
4958225072;6112664445;11070889517
5012092808;6067311497;11079404305
4891035988;6226453134;11117489122
5022452707;6003630351;11026083058
4944380623;6059970298;11004350921
5346384034;6139195609;11485579643
5080126143;6250895669;11331021812
4934865421;6293538797;11228404218
4988426523;6102922313;11091348836
4982451512;6684329167;11666780679
4898411365;6271156294;11169567659
4887422874;6644220988;11531643862
4856089012;6713677809;11569766821
4860758112;6747124370;11607882482
4870665195;6128784578;10999449773
4901402985;6204609737;11106012722
4942691592;6701495378;11644186970
4922759806;6121866272;11044626078
4935584311;6081068111;11016652422
4917857688;6661972161;11579829849
4969828795;6147764918;11117593713
4926028351;6210415754;11136444105
4862054769;6596456826;11458511595
4933426709;6207249253;11140675962
4858883603;6100242054;10959125657
5070517520;6163122303;11233639823
5020285610;6152543527;11172829137
5163172768;6579781141;11742953909
5006910082;6345489018;11352399100
5014221962;6274334022;11288555984
