Handling duration;Writing duration;Total duration
5032498013;6018787139;11051285152
5029793914;6044622443;11074416357
4990811843;6069513031;11060324874
5095922712;6027757325;11123680037
5078944897;6593620876;11672565773
5048081015;6009598331;11057679346
5050422297;5978947189;11029369486
5097047669;6470790670;11567838339
5147065246;5960369698;11107434944
5041121681;6080726897;11121848578
5109397451;6022366362;11131763813
5138485032;6161778700;11300263732
5106929600;6180163288;11287092888
4979447115;6571544805;11550991920
4969795687;5977522134;10947317821
5025275161;6474165772;11499440933
5000118995;6520487017;11520606012
5060944360;6025988304;11086932664
5030603531;6239195139;11269798670
4973747659;6096048814;11069796473
5207691502;6030039602;11237731104
4956487739;5985366736;10941854475
5162851193;6270411241;11433262434
5126459341;6088466168;11214925509
5096784445;6091066481;11187850926
4983289397;6272524917;11255814314
5001207572;6064681605;11065889177
4966142391;6120126423;11086268814
4965429804;6043058957;11008488761
5074964844;6093254272;11168219116
5001123430;6150186891;11151310321
4960185391;6218119873;11178305264
5160590870;6175983091;11336573961
5002896019;6157612007;11160508026
5032006654;6059803746;11091810400
5060921432;6044837018;11105758450
5012160169;5964542631;10976702800
4946626743;6134651257;11081278000
5057393623;6234205863;11291599486
4959356946;6214211044;11173567990
5079100671;6094911307;11174011978
5104604870;6104284091;11208888961
5085666870;6167976284;11253643154
4968985713;6111862307;11080848020
5113402938;6191645878;11305048816
5057165839;6081304699;11138470538
5151097178;6144656893;11295754071
5074081615;6022838609;11096920224
4973349546;6084496946;11057846492
5062857686;6085842229;11148699915
5012240544;6100635338;11112875882
5089852347;6248892558;11338744905
5038720528;6617859141;11656579669
5144527257;6540274939;11684802196
5276070485;5966904596;11242975081
5155696296;6006470770;11162167066
5010974111;6166033506;11177007617
5042597449;6147231468;11189828917
5055147415;6029124741;11084272156
5033481289;6575535287;11609016576
5169039158;6164321033;11333360191
5077206879;6017945360;11095152239
5064779479;6261606485;11326385964
5066921446;6397167580;11464089026
5169547796;6100179651;11269727447
5072537784;6113606057;11186143841
5008400804;6229249789;11237650593
5012124036;6096189006;11108313042
5072574197;6168278431;11240852628
5343375814;6112287891;11455663705
4967801385;6166567740;11134369125
5081221570;6241370621;11322592191
5095580282;6001658020;11097238302
5055691332;6432709915;11488401247
4987605357;6012164278;10999769635
5093073079;6108702360;11201775439
5049561539;6060854568;11110416107
5055521016;6005796980;11061317996
5151570573;6085990208;11237560781
5091904253;6696096195;11788000448
5124443657;5956485256;11080928913
5028705224;6262650091;11291355315
5059831872;6039625830;11099457702
5094549278;6226496970;11321046248
5062197232;6139167536;11201364768
5144918843;6093895164;11238814007
4981611180;6168261532;11149872712
5045646927;6172284623;11217931550
5117133388;6170716547;11287849935
5015814150;6145410446;11161224596
5174095586;6071655040;11245750626
5021431162;6098537730;11119968892
5100235363;6054047112;11154282475
5054555523;6175799717;11230355240
5017123468;6110962514;11128085982
4988535738;6124093789;11112629527
5110151313;6623730113;11733881426
5117217292;6090535518;11207752810
5076148385;6140404866;11216553251
5005081654;6572661514;11577743168
