Handling duration;Writing duration;Total duration
180381377;105373630;285755007
174059440;102289480;276348920
163150645;98989784;262140429
169733150;96687362;266420512
164794477;101490956;266285433
164621826;98294976;262916802
165079513;103287837;268367350
165739634;101172253;266911887
164681794;111306257;275988051
164963845;98317391;263281236
168616841;104050609;272667450
167135394;99502546;266637940
163775998;109004825;272780823
166972668;102814580;269787248
163950624;98227681;262178305
164784612;104107821;268892433
163310410;97381091;260691501
163599791;98125671;261725462
162915589;100789983;263705572
163289895;97476204;260766099
164428237;98767173;263195410
165701828;97780312;263482140
164459119;100020680;264479799
164801354;98075376;262876730
164440458;96237358;260677816
164544016;97842325;262386341
164299749;98868838;263168587
162380059;100861860;263241919
163876739;99057531;262934270
173049491;93037326;266086817
163672222;105885741;269557963
164682055;106903890;271585945
164004280;100880259;264884539
163845077;96412824;260257901
165797245;100426541;266223786
165403457;102892817;268296274
167223973;98737324;265961297
163054157;99995359;263049516
163322867;98035616;261358483
163488362;102159407;265647769
165798117;96981018;262779135
163106319;100607872;263714191
166151788;96922602;263074390
166694075;100246797;266940872
165132703;99100601;264233304
199685032;101740737;301425769
191794704;100792587;292587291
168017179;98329185;266346364
161834368;99793072;261627440
165364121;98144212;263508333
168922384;100143485;269065869
174148614;99649108;273797722
163746115;98071353;261817468
163315409;101590417;264905826
165996630;100263687;266260317
163733909;101483143;265217052
161420592;104411486;265832078
164798663;101988569;266787232
162771566;105846356;268617922
166969626;100933215;267902841
164979601;103401920;268381521
164295354;100312727;264608081
162287729;96769805;259057534
169681965;101241094;270923059
165576457;103666955;269243412
163495820;101543467;265039287
166125592;101076668;267202260
166004364;100611080;266615444
160359601;98643723;259003324
165342948;98623981;263966929
176647415;97992280;274639695
166273836;101571799;267845635
159856860;98901785;258758645
161507961;100959140;262467101
164660452;101024102;265684554
164565162;102095178;266660340
162438434;105015221;267453655
166186905;104155324;270342229
181390268;98834274;280224542
163723582;103306823;267030405
164269510;96109024;260378534
162717693;102315378;265033071
162769842;98797216;261567058
163134643;98402310;261536953
164026395;97328691;261355086
164306538;97619228;261925766
164694843;97655976;262350819
164289090;101519307;265808397
163757963;100822190;264580153
164125419;101220593;265346012
162254248;96960056;259214304
164795100;99310903;264106003
164300834;99899496;264200330
163599583;98638027;262237610
165856802;99874428;265731230
161996085;102571290;264567375
166133958;102774251;268908209
161954413;104601991;266556404
163408318;102708319;266116637
162534763;103972016;266506779
