Handling duration;Writing duration;Total duration
163991034;101752236;265743270
160802165;103648525;264450690
161088623;101391387;262480010
182721945;103547565;286269510
168218649;103720216;271938865
163925725;100708390;264634115
177151786;95099836;272251622
161033655;119695748;280729403
170382637;103138510;273521147
174350659;97853511;272204170
169517469;99230235;268747704
163649474;101962191;265611665
166192138;109830221;276022359
186074090;106210145;292284235
174692024;101849317;276541341
175037594;105828811;280866405
178122255;106004052;284126307
173932118;101432927;275365045
176132292;101361784;277494076
174627352;105385475;280012827
173480023;100983231;274463254
159973804;100338483;260312287
170179778;104343944;274523722
179106596;114651717;293758313
170255159;102826683;273081842
175235284;97282717;272518001
183068908;94975268;278044176
189098473;104776439;293874912
166370291;103637675;270007966
188848123;103606336;292454459
178622874;102641755;281264629
166735666;106795371;273531037
167861319;98893585;266754904
166473346;103088742;269562088
161759911;101600849;263360760
168277149;108330155;276607304
173331833;101659913;274991746
163309306;105135969;268445275
162131637;104397374;266529011
165229641;100493207;265722848
172306291;103999232;276305523
169454841;101808203;271263044
171267729;109698472;280966201
180783699;98737174;279520873
163789057;105193893;268982950
167612823;105412423;273025246
181940298;101628578;283568876
173607455;99593768;273201223
174129028;106603790;280732818
170362270;104549016;274911286
184953618;101872671;286826289
171611238;102605256;274216494
169772921;112334255;282107176
179313482;100064866;279378348
175317264;100656175;275973439
177117696;101186448;278304144
175246693;102118196;277364889
176572036;101311635;277883671
188551424;97323253;285874677
187770180;106119308;293889488
201556883;99209392;300766275
179195175;103821118;283016293
162183915;104239591;266423506
174353408;103164409;277517817
186755534;106829875;293585409
182631894;97894081;280525975
187479419;103992649;291472068
165345451;109169056;274514507
169522706;107097464;276620170
182458144;101249217;283707361
175916689;101999545;277916234
187369855;101882971;289252826
167898878;105197504;273096382
184519291;98833945;283353236
171514603;101503851;273018454
166069580;98724916;264794496
160783898;101603847;262387745
174361299;99405982;273767281
168114563;99892489;268007052
169433206;99223012;268656218
164599423;107895140;272494563
166031782;99988366;266020148
158341647;110382133;268723780
163967314;101234224;265201538
162978057;101387131;264365188
163009165;100455069;263464234
163575987;99634797;263210784
169548652;100654106;270202758
165752204;100329326;266081530
160517965;99997822;260515787
165184549;104317335;269501884
162861545;101807493;264669038
162986177;108465513;271451690
162048072;105010901;267058973
164822767;97875757;262698524
162837334;102616930;265454264
163869006;100989233;264858239
171234482;101369225;272603707
176952920;102567073;279519993
161972522;100429928;262402450
